Name,Category,Cuisine,lat,lng
Starbucks,cafe,coffee_shop,3.1470013,101.7119676
The Coffee Bean & Tea Leaf,cafe,coffee_shop,3.1495335,101.7124457
The Pressroom,restaurant,N/A,3.1499057,101.7125597
Le Shady Trinity,cafe,N/A,3.1428954,101.6964298
Feeka Coffee Roasters,cafe,N/A,3.1486909,101.7084018
Ali-Sons Nasi Kandar,restaurant,N/A,3.1452529,101.6980753
Rasta Cafe & Bar,cafe,N/A,3.1428073,101.6965989
Morganfield's,restaurant,N/A,3.1495209,101.7123563
Nam Heong,restaurant,chinese,3.1435269,101.6985493
Auntie Anne,cafe,N/A,3.1423209,101.7106127
KFC,fast_food,chicken,3.1347778,101.6864741
KFC,fast_food,chicken,3.1425137,101.7106717
Papa John's,fast_food,pizza,3.1426959,101.7104652
Merchant's Lane,cafe,N/A,3.1410448,101.6980959
Dining in the Dark KL,restaurant,international,3.1474986,101.7082688
Fast & Yummy Shawarma,fast_food,arab,3.1453460,101.6969164
Suriani,restaurant,N/A,3.1482212,101.7089022
Camp5 Climbing Gym,cafe,N/A,3.1501164,101.6163919
The Counter,restaurant,N/A,3.1479856,101.7150232
Old China Café,restaurant,asian,3.1413844,101.6973506
Le Monde Cafe,cafe,N/A,3.1466716,101.6958311
Shell Out,restaurant,seafood,3.1520873,101.5919464
Mongolia BBQ,restaurant,N/A,3.1468784,101.7086555
Khalifah,restaurant,N/A,3.1509658,101.5924887
Arimau Nasi Lemak Berlauk,restaurant,malaysian,3.1516600,101.5922161
Nasi Kandar Padang Kota,restaurant,nasi_kandar,3.1516514,101.5919445
Sao Nam,restaurant,vietnamese,3.1458550,101.7075938
Kedai Kopi Lai Foong,restaurant,chinese,3.1453009,101.6967286
Tang City Food Court,food_court,N/A,3.1445107,101.6981807
Koryo,restaurant,korean,3.1458009,101.7160126
J&P Magic House,restaurant,N/A,3.1481158,101.7079929
Halab Castle,restaurant,N/A,3.1477865,101.7086475
Taz,restaurant,malaysian,3.1479933,101.7095450
Pacific Restaurant and Bar,restaurant,western,3.1473672,101.7084663
El Cerdo,restaurant,spanish,3.1474522,101.7078863
The Steakhouse,restaurant,N/A,3.1475125,101.7082375
Ciccio,restaurant,pizza;pasta;salad;seafood,3.1477572,101.7071119
Subway,fast_food,sandwich,3.1457606,101.7098206
Unnamed,food_court,cafeteria,3.1381608,101.6874033
McDonald's,fast_food,burger,3.1467592,101.7109550
Unnamed,restaurant,N/A,3.1508870,101.7096437
Boardwalk,restaurant,N/A,3.1355822,101.6856358
Iketeru,restaurant,japanese,3.1353511,101.6859575
Unnamed,fast_food,chinese;dim_sum;bao,3.1434125,101.6985133
Kayu Nasi Kandar,restaurant,nasi_kandar,3.1532674,101.5926137
The Artcoffee,cafe,american;asian,3.1505712,101.5917096
Mon Chinese Beef Roti,restaurant,N/A,3.1459006,101.7099823
Sri Paandi,restaurant,indian,3.1446087,101.7084030
Sri Ganesa,fast_food,indian,3.1466092,101.7005829
Arab Hadramot,restaurant,arab,3.1417568,101.7092489
Secret Recipe,fast_food,cake;malaysian,2.9960665,101.7902529
Heritage Cafe,restaurant,N/A,2.9959487,101.7902610
Restoran Ayza's,restaurant,N/A,2.9954706,101.7902315
Kedai Kopi Zillion,restaurant,chinese,2.9921556,101.7891029
Old Buddha Vegetarian Restaurant,restaurant,N/A,2.9921527,101.7892333
Restoran Bintang Kajang,restaurant,chinese,2.9924194,101.7897010
Restoran Anjung,restaurant,malaysian,2.9927970,101.7898942
Restoran Sri Santhi,restaurant,indian,2.9912730,101.7822989
Kopitiam Yat Yeh Heng,restaurant,chinese,2.9913689,101.7824688
Ilman Cafe,cafe,malaysian,2.9773748,101.7916604
Ah hei bakkutteh,restaurant,N/A,3.1444537,101.7143980
Mawar Merah,restaurant,malaysian,3.1453353,101.6990643
Restoran Kim Lian Kee,restaurant,malaysian;chinese;noodle,3.1443421,101.6975031
Precious Old China,restaurant,N/A,3.1454428,101.6954569
Damascus Шаурма,fast_food,kebab,3.1472690,101.7112570
Michaelango,restaurant,N/A,3.1484676,101.7135431
Palmierra28,restaurant,N/A,3.1410137,101.6980980
Urban Operation,restaurant,N/A,3.1452703,101.6982660
Starbucks,cafe,coffee_shop,3.1518761,101.6659259
Subway,fast_food,sandwich,3.1515928,101.6661649
Tg's Nasi Kandar,restaurant,indian;malaysian;asian,3.1455737,101.7067580
McDonald's,fast_food,burger,3.1346045,101.6863202
Subway,fast_food,sandwich,3.1359541,101.6889358
Hon Kee Porridge,restaurant,chinese,3.1443477,101.6978606
etc.,cafe,N/A,3.1430594,101.6966318
Sana'a Restaurant,restaurant,N/A,3.1471000,101.7124390
Baan 26,restaurant,thai,3.1478039,101.7076197
Quizinn Foodcourt,restaurant,N/A,3.1336019,101.6872045
Madam Kwan,restaurant,N/A,3.1486149,101.7130001
Jersey Jack Gelato,cafe,N/A,3.1475143,101.7090376
French Feast,restaurant,french,3.1458520,101.7071226
Rococo Café Restaurant,restaurant,N/A,3.1465136,101.7089013
Restoran Ameen,restaurant,indonesian;malaysian;asian,3.1455852,101.7126819
Gani Bistro Nasi Kandar,restaurant,local;malaysian;asian,3.1463335,101.7185803
Starbucks,cafe,coffee_shop,3.1444638,101.7098633
Arraaziq,restaurant,indian,3.1446047,101.7096872
Fuel Shack,fast_food,N/A,3.1445102,101.7099225
KFC,fast_food,chicken,3.1445685,101.7100797
Sin Kiew Yee Shin Kee Beef Noodles,restaurant,noodle,3.1450869,101.6969606
Husen Cafe,restaurant,indian;malaysian,3.1330377,101.6889180
Ko Ryo Jeong,restaurant,korean,3.1474216,101.7135998
Neroteca,restaurant,N/A,3.1488157,101.7074215
Ozeki,restaurant,japanese,3.1510853,101.7120628
Lodge Paradize Poolside,restaurant,N/A,3.1506055,101.7102004
Burger on 16,restaurant,burger,3.1414299,101.7095202
Wong Fook Kee,restaurant,chinese,3.1461609,101.7079864
Unnamed,restaurant,korean;barbecue,3.1448175,101.7090175
Saigon Station,restaurant,N/A,3.1454328,101.7080463
ABC Bistro Cafe,restaurant,indian,3.1326357,101.6877913
Din Tai Fung,restaurant,taiwanese,3.1492060,101.7121887
Indian Mini Restaurant,fast_food,N/A,3.1467409,101.7105566
Payung Cafe,restaurant,N/A,3.1426579,101.6936549
Dotty's Pastries,cafe,N/A,3.1402536,101.6285901
Foodle,restaurant,N/A,3.1437733,101.6958100
Via Pre Kl Italian restaurant,restaurant,N/A,3.1439149,101.6575103
Starbucks,cafe,coffee_shop,3.1465502,101.6616469
McDonald's,fast_food,burger,3.1491470,101.6168094
Starbucks,cafe,coffee_shop,3.1275163,101.7235582
Subway,fast_food,sandwich,3.1345429,101.7227281
Starbucks,cafe,coffee_shop,3.1344361,101.7228060
KFC,fast_food,chicken,3.1264599,101.7277608
IKEA Restaurant,fast_food,swedish,3.1354754,101.7216212
Nando's,restaurant,chicken;portuguese,3.1339739,101.7230193
IKEA Restaurant,fast_food,swedish,3.1568022,101.6123341
Subway,fast_food,sandwich,3.1569741,101.6112329
Purple Miao,restaurant,N/A,3.1448780,101.7087088
Ho Kow Hainam Kopitiam,cafe,N/A,3.1413488,101.6976799
Restoran Jaya,fast_food,N/A,3.1463113,101.7004730
Food Court Lot 10,fast_food,N/A,3.1463684,101.7119416
The Enclave,restaurant,burger;pasta;chicken;indian,3.1345831,101.6266673
The Nasi Lemak Guys,restaurant,malaysian;asian,3.1353275,101.6290435
Ice Dreams Cafe,cafe,ice_cream;coffee_shop,3.1354819,101.6290393
Myra’s,restaurant,indian;mexican,3.1506546,101.7085076
Starbucks,cafe,coffee_shop,3.1334558,101.6869574
Starbucks,cafe,coffee_shop;tea,3.1426205,101.7100268
Sweet Potato Balls Petaling Street,fast_food,N/A,3.1445184,101.6980566
Kim Soya Bean,fast_food,malaysian;dessert,3.1443381,101.6976014
Limkee Cafe,cafe,N/A,3.1438163,101.6985690
Naab,restaurant,kebab,3.1472249,101.7116918
Bubble Bee Cafe,cafe,N/A,3.1416868,101.6978900
Nine Dragon Char Chan Teng,restaurant,N/A,3.1416107,101.6980586
Leaf & Co,cafe,N/A,3.1429152,101.6987455
Warung Wok,restaurant,N/A,3.1362070,101.6908704
Vishal Food & Catering,restaurant,indian,3.1352110,101.6920878
Greyhound Cafe,cafe,N/A,3.1469634,101.7120323
Walter Food Court,cafe,N/A,3.1539686,101.5955352
Hawker Center,food_court,N/A,3.1446310,101.7112082
Resepi Ayah,fast_food,N/A,3.1452388,101.6979244
Kenny Rogers Roasters,fast_food,N/A,3.1428401,101.7109760
Unnamed,fast_food,N/A,3.1482372,101.7097216
Koon Kee Wan Tan Mee,fast_food,chinese,3.1443268,101.6979330
Mohamed Nazar Curry House,restaurant,N/A,3.1462916,101.7136845
Restoran Han Kee,restaurant,chinese,3.1431890,101.6985691
Restoran Pik Wah,restaurant,N/A,3.1430023,101.7003727
Poppo Kanteen,restaurant,local,3.0894754,101.7427989
Yellow Brick Road,cafe,N/A,3.1496178,101.6615059
CMCR Kuala Lumpur,cafe,N/A,3.1397698,101.6303033
Ben’s,cafe,N/A,3.1490455,101.7124945
Clay Pot Street Food,fast_food,N/A,3.1443937,101.6986453
Ben’s General Food Store,cafe,N/A,3.1339615,101.6298297
Ours Eatery,cafe,N/A,3.1458222,101.6619516
Mighty Monster,cafe,N/A,3.1346315,101.7232414
The Fish Bowl,cafe,N/A,3.1459730,101.6621355
The Fish Bowl,cafe,N/A,3.1491596,101.7124153
33 Restoran WK Tiga Tiga,restaurant,N/A,3.1426598,101.7148698
Birdnest Café & Bar,restaurant,N/A,3.1454818,101.7071117
Junk Cafe,restaurant,N/A,3.1418364,101.6980260
Sushi Kitchen,restaurant,japanese;fusion,3.1505274,101.5828112
Hadramot House,restaurant,N/A,3.1465886,101.7107517
Breakfast Spot Petaling Street,cafe,N/A,3.1412978,101.6980874
