ID,Name,Category,Subcategory,lat,lng,Nearest Station,Distance (m)
KA0063,Yusoof Dan Zakhir,Food,Restaurant,3.1450281,101.6958385,KJ14 Pasar Seni,294.1
KA0064,The Loaf Bakery & Bistro,Food,Cafe,3.1490063,101.7126152,KG18A Bukit Bintang,343.1
KA0065,Cafe de Paris,Food,Cafe,3.149116,101.7127059,KG18A Bukit Bintang,358.9
KA0066,Sushi Zanmai,Food,Restaurant,3.1473219,101.7132001,MR6 Bukit Bintang,236
KA0067,O'Briens,Food,Cafe,3.1519347,101.6667532,KG14 Semantan,189
KA0068,Vocational Training Opportunity Centre,Other,Community Centre,3.1429883,101.7017822,KG17 Merdeka,46.6
KA0069,Jom Cari Makan,Food,Restaurant,3.153326,101.5936564,KG07 Surian,414.5
KA0070,Unnamed,Food,Cafe,3.1417375,101.6869907,KG15 Muzium Negara,513.2
KA0071,TGI Fridays,Food,Restaurant,3.1492416,101.6164389,KG09 Bandar Utama,390.4
KA0072,Poolview Cafeteria,Food,Restaurant,3.1535356,101.6045591,KG08 Mutiara Damansara,508
KA0073,Hakka,Food,Restaurant,3.1507057,101.7129496,KG18A Bukit Bintang,526.1
KA0074,Muar,Food,Restaurant,3.1456292,101.706859,KG18A Bukit Bintang,457.2
KA0075,Anytime Dining,Food,Cafe,3.1450937,101.7076256,KG18A Bukit Bintang,392.8
KA0076,Park 28 Mutiara Damansara,Food,Restaurant,3.1557846,101.613007,KG08 Mutiara Damansara,469.1
KA0077,Ahmed Nasi Kandar Penang,Food,Restaurant,3.1452663,101.6982159,KG16 Pasar Seni,382.2
KA0078,Tajudin Nasi Beriani,Food,Restaurant,3.1464391,101.6959811,KG16 Pasar Seni,448.5
KA0079,Nomad’s,Food,Cafe,3.1437075,101.6958106,KJ14 Pasar Seni,151.9
KA0080,West Lake,Food,Restaurant,3.1430231,101.6985746,KG16 Pasar Seni,262.5
KA0081,Jiu Pin,Food,Restaurant,3.1456042,101.7031348,KG17 Merdeka,318
KA0082,AllAce Burger & Chicken,Food,Fast Food,3.1452823,101.6984154,KG16 Pasar Seni,396.5
KA0083,Bol - Asian Reimagined,Food,Restaurant,3.1431274,101.7048622,KG17 Merdeka,297.4
KA0084,Claypot Rice By The Roadside,Food,Fast Food,3.1449144,101.6986365,KG16 Pasar Seni,380.8
KA0085,Sun Fong Baku teh,Food,Restaurant,3.1444541,101.7145184,MR6 Bukit Bintang,382.2
KA0086,Mitasu,Food,Restaurant,3.1491,101.711733,KG18A Bukit Bintang,309.8
KA0087,Noble House,Food,Restaurant,3.144806,101.719959,KG20 PY23 Tun Razak Exchange,222.2
KA0088,Adyar Ananda Bhavan,Food,Restaurant,3.1466393,101.7003397,KG17 Merdeka,463.6
KA0089,Moontree House,Food,Cafe,3.141975,101.6972237,KG16 Pasar Seni,114.8
KA0090,Old Kasturi Kopitiam,Food,Restaurant,3.142822,101.6959358,KG16 Pasar Seni,59.7
KA0091,Dunkin',Food,Fast Food,3.1458007,101.700803,KG17 Merdeka,357.2
KA0092,Hwa Viet Kitchen,Food,Restaurant,3.1459166,101.7018121,KG17 Merdeka,337.7
KA0093,KFC,Food,Fast Food,3.1450872,101.6986728,KG16 Pasar Seni,397.7
KA0094,Sup Kambing Tangga,Food,Fast Food,3.1452467,101.6977313,KG16 Pasar Seni,353
KA0095,Sisha's Place,Food,Restaurant,3.1429585,101.7088789,KG18A Bukit Bintang,447.4
KA0096,Wong Ah Wah,Food,Restaurant,3.144891,101.7079037,KG18A Bukit Bintang,374.3
KA0097,Sutraa,Food,Restaurant,3.1477092,101.707823,KG18A Bukit Bintang,369
KA0098,Grandmama's Pavillion Restaurant,Food,Restaurant,3.149445,101.7122589,KG18A Bukit Bintang,366.6
KA0099,Muzium Polis Diraja Malaysia,Culture,Museum,3.1409386,101.6889136,KG15 Muzium Negara,457.8
KA0100,Ali Maju Cafe,Food,Restaurant,3.1546346,101.6654677,KG14 Semantan,408.7
KA0101,Restoran Loong Huang,Food,Restaurant,3.1457619,101.6964682,KG16 Pasar Seni,372.4
KA0102,Mala Tang Jalan Sultan,Food,Restaurant,3.143634,101.6985536,KG16 Pasar Seni,285.5
KA0103,Chocha Foodstore,Food,Cafe,3.1408565,101.6980974,KG16 Pasar Seni,265.4
KA0104,Ali Muthu & Ahhack,Food,Restaurant,3.1413972,101.6972637,KG16 Pasar Seni,156.8
KA0105,Outback,Food,Restaurant,3.1444497,101.7093101,KG18A Bukit Bintang,283
KA0106,La Boca,Food,Restaurant,3.1498173,101.7130879,KG18A Bukit Bintang,447.3
KA0107,Restoran Kiew Yee Baru,Food,Restaurant,3.1438365,101.6966932,KG16 Pasar Seni,164
KA0108,New Shanghai,Food,Restaurant,3.1509167,101.7088528,KG18A Bukit Bintang,546.7
KA0109,Starbucks,Food,Cafe,3.1470013,101.7119676,MR6 Bukit Bintang,116.4
KA0110,The Coffee Bean & Tea Leaf,Food,Cafe,3.1495335,101.7124457,KG18A Bukit Bintang,384.4
KA0111,The Pressroom,Food,Restaurant,3.1499057,101.7125597,KG18A Bukit Bintang,427.1
KA0112,Le Shady Trinity,Food,Cafe,3.1428954,101.6964298,KG16 Pasar Seni,55.4
KA0113,Feeka Coffee Roasters,Food,Cafe,3.1486909,101.7084018,KG18A Bukit Bintang,373
KA0114,Ali-Sons Nasi Kandar,Food,Restaurant,3.1452529,101.6980753,KG16 Pasar Seni,372.4
KA0115,Rasta Cafe & Bar,Food,Cafe,3.1428073,101.6965989,KG16 Pasar Seni,55.3
KA0116,Morganfield's,Food,Restaurant,3.1495209,101.7123563,KG18A Bukit Bintang,378.8
KA0117,Nam Heong,Food,Restaurant,3.1435269,101.6985493,KG16 Pasar Seni,279.6
KA0118,Auntie Anne,Food,Cafe,3.1423209,101.7106127,MR6 Bukit Bintang,428.3
KA0119,KFC,Food,Fast Food,3.1347778,101.6864741,KG15 Muzium Negara,279
KA0120,KFC,Food,Fast Food,3.1425137,101.7106717,MR6 Bukit Bintang,405.9
KA0121,Papa John's,Food,Fast Food,3.1426959,101.7104652,MR6 Bukit Bintang,392.2
KA0122,Merchant's Lane,Food,Cafe,3.1410448,101.6980959,KG16 Pasar Seni,252
KA0123,Dining in the Dark KL,Food,Restaurant,3.1474986,101.7082688,KG18A Bukit Bintang,314.4
KA0124,Fast & Yummy Shawarma,Food,Fast Food,3.145346,101.6969164,KG16 Pasar Seni,333
KA0125,Suriani,Food,Restaurant,3.1482212,101.7089022,KG18A Bukit Bintang,296.8
KA0126,Camp5 Climbing Gym,Food,Cafe,3.1501164,101.6163919,KG09 Bandar Utama,469.9
KA0127,The Counter,Food,Restaurant,3.1479856,101.7150232,MR6 Bukit Bintang,447
KA0128,Lostgens' Contemporary Art Space (Findars),Culture,Arts Centre,3.1418599,101.6972314,KG16 Pasar Seni,121.6
KA0129,Old China Café,Food,Restaurant,3.1413844,101.6973506,KG16 Pasar Seni,164.6
KA0130,Le Monde Cafe,Food,Cafe,3.1466716,101.6958311,KJ14 Pasar Seni,474.4
KA0131,Shell Out,Food,Restaurant,3.1520873,101.5919464,KG07 Surian,338.8
KA0132,Mongolia BBQ,Food,Restaurant,3.1468784,101.7086555,KG18A Bukit Bintang,253.4
KA0133,Khalifah,Food,Restaurant,3.1509658,101.5924887,KG07 Surian,203.5
KA0134,Arimau Nasi Lemak Berlauk,Food,Restaurant,3.15166,101.5922161,KG07 Surian,282.8
KA0135,Nasi Kandar Padang Kota,Food,Restaurant,3.1516514,101.5919445,KG07 Surian,300.7
KA0136,Sao Nam,Food,Restaurant,3.145855,101.7075938,KG18A Bukit Bintang,372.3
KA0137,T-Club KL,Entertainment,Nightclub,3.1510908,101.7130513,KG18A Bukit Bintang,569.6
KA0138,Kedai Kopi Lai Foong,Food,Restaurant,3.1453009,101.6967286,KG16 Pasar Seni,324.3
KA0139,Tang City Food Court,Food,Food Court,3.1445107,101.6981807,KG16 Pasar Seni,313.5
KA0140,Jadi Batik Gallery,Culture,Gallery,3.1457108,101.7190427,KG20 PY23 Tun Razak Exchange,338.6
KA0141,Koryo,Food,Restaurant,3.1458009,101.7160126,MR6 Bukit Bintang,504
KA0142,J&P Magic House,Food,Restaurant,3.1481158,101.7079929,KG18A Bukit Bintang,372.1
KA0143,Halab Castle,Food,Restaurant,3.1477865,101.7086475,KG18A Bukit Bintang,290.9
KA0144,Taz,Food,Restaurant,3.1479933,101.709545,KG18A Bukit Bintang,228.5
KA0145,Pacific Restaurant and Bar,Food,Restaurant,3.1473672,101.7084663,KG18A Bukit Bintang,288.6
KA0146,El Cerdo,Food,Restaurant,3.1474522,101.7078863,KG18A Bukit Bintang,352.4
KA0147,The Steakhouse,Food,Restaurant,3.1475125,101.7082375,KG18A Bukit Bintang,318.2
KA0148,Ciccio,Food,Restaurant,3.1477572,101.7071119,KG18A Bukit Bintang,444.8
KA0149,Subway,Food,Fast Food,3.1457606,101.7098206,KG18A Bukit Bintang,141.4
KA0150,Unnamed,Food,Food Court,3.1381608,101.6874033,KG15 Muzium Negara,114.3
KA0151,McDonald's,Food,Fast Food,3.1467592,101.710955,KG18A Bukit Bintang,35.8
KA0152,Unnamed,Food,Restaurant,3.150887,101.7096437,KG18A Bukit Bintang,513.4
KA0153,Boardwalk,Food,Restaurant,3.1355822,101.6856358,KG15 Muzium Negara,255.8
KA0154,Iketeru,Food,Restaurant,3.1353511,101.6859575,KG15 Muzium Negara,250.5
KA0155,Unnamed,Food,Fast Food,3.1434125,101.6985133,KG16 Pasar Seni,270.6
KA0156,Kayu Nasi Kandar,Food,Restaurant,3.1532674,101.5926137,KG07 Surian,425.6
KA0157,The Artcoffee,Food,Cafe,3.1505712,101.5917096,KG07 Surian,246.8
KA0158,Mon Chinese Beef Roti,Food,Restaurant,3.1459006,101.7099823,KG18A Bukit Bintang,117.9
KA0159,Sri Paandi,Food,Restaurant,3.1446087,101.708403,KG18A Bukit Bintang,343.7
KA0160,Sri Ganesa,Food,Fast Food,3.1466092,101.7005829,KG17 Merdeka,449.2
KA0161,Arab Hadramot,Food,Restaurant,3.1417568,101.7092489,MR6 Bukit Bintang,540.2
KA0162,Secret Recipe,Food,Fast Food,2.9960665,101.7902529,KG34 Stadium Kajang,502.6
KA0163,Heritage Cafe,Food,Restaurant,2.9959487,101.790261,KG34 Stadium Kajang,497.8
KA0164,Restoran Ayza's,Food,Restaurant,2.9954706,101.7902315,KG34 Stadium Kajang,474.6
KA0165,Kedai Kopi Zillion,Food,Restaurant,2.9921556,101.7891029,KG34 Stadium Kajang,385.5
KA0166,Old Buddha Vegetarian Restaurant,Food,Restaurant,2.9921527,101.7892333,KG34 Stadium Kajang,397.9
KA0167,Restoran Bintang Kajang,Food,Restaurant,2.9924194,101.789701,KG34 Stadium Kajang,429.4
KA0168,Restoran Anjung,Food,Restaurant,2.992797,101.7898942,KG34 Stadium Kajang,433.6
KA0169,Restoran Sri Santhi,Food,Restaurant,2.991273,101.7822989,KG34 Stadium Kajang,532.3
KA0170,Kopitiam Yat Yeh Heng,Food,Restaurant,2.9913689,101.7824688,KG34 Stadium Kajang,510.7
KA0171,Ilman Cafe,Food,Cafe,2.9773748,101.7916604,KB06 Kajang,602.6
KA0172,Community Library,Other,Community Centre,3.1406343,101.6309316,KG10 Taman Tun Dr Ismail,512.2
KA0173,Ah hei bakkutteh,Food,Restaurant,3.1444537,101.714398,MR6 Bukit Bintang,370.5
KA0174,Wei-Ling Gallery,Culture,Gallery,3.1358904,101.691433,KG15 Muzium Negara,475.5
KA0175,Mawar Merah,Food,Restaurant,3.1453353,101.6990643,KG17 Merdeka,440.2
KA0176,Restoran Kim Lian Kee,Food,Restaurant,3.1443421,101.6975031,KG16 Pasar Seni,252.9
KA0177,Precious Old China,Food,Restaurant,3.1454428,101.6954569,KJ14 Pasar Seni,334.6
KA0178,Damascus Шаурма,Food,Fast Food,3.147269,101.711257,KG18A Bukit Bintang,100.3
KA0179,Iglesia ni cristo,Other,Community Centre,3.1270876,101.7305316,KG22 Maluri,465.2
KA0180,Michaelango,Food,Restaurant,3.1484676,101.7135431,MR6 Bukit Bintang,351.1
KA0181,Palmierra28,Food,Restaurant,3.1410137,101.698098,KG16 Pasar Seni,254.3
KA0182,Urban Operation,Food,Restaurant,3.1452703,101.698266,KG16 Pasar Seni,385.7
KA0183,Starbucks,Food,Cafe,3.1518761,101.6659259,KG14 Semantan,119.7
KA0184,Subway,Food,Fast Food,3.1515928,101.6661649,KG14 Semantan,113.9
KA0185,Tg's Nasi Kandar,Food,Restaurant,3.1455737,101.706758,KG18A Bukit Bintang,469.4
KA0186,McDonald's,Food,Fast Food,3.1346045,101.6863202,KG15 Muzium Negara,303.1
KA0187,Subway,Food,Fast Food,3.1359541,101.6889358,KG15 Muzium Negara,220.9
KA0188,Hon Kee Porridge,Food,Restaurant,3.1443477,101.6978606,KG16 Pasar Seni,276.6
KA0189,etc.,Food,Cafe,3.1430594,101.6966318,KG16 Pasar Seni,80.9
KA0190,Sana'a Restaurant,Food,Restaurant,3.1471,101.712439,MR6 Bukit Bintang,156
KA0191,Baan 26,Food,Restaurant,3.1478039,101.7076197,KG18A Bukit Bintang,393.9
KA0192,Quizinn Foodcourt,Food,Restaurant,3.1336019,101.6872045,KG15 Muzium Negara,393.1
KA0193,Madam Kwan,Food,Restaurant,3.1486149,101.7130001,MR6 Bukit Bintang,329.1
KA0194,Jersey Jack Gelato,Food,Cafe,3.1475143,101.7090376,KG18A Bukit Bintang,238.2
KA0195,French Feast,Food,Restaurant,3.145852,101.7071226,KG18A Bukit Bintang,424
KA0196,Rococo Café Restaurant,Food,Restaurant,3.1465136,101.7089013,KG18A Bukit Bintang,221.5
KA0197,Restoran Ameen,Food,Restaurant,3.1455852,101.7126819,MR6 Bukit Bintang,143.9
KA0198,Gani Bistro Nasi Kandar,Food,Restaurant,3.1463335,101.7185803,KG20 PY23 Tun Razak Exchange,421
KA0199,Starbucks,Food,Cafe,3.1444638,101.7098633,KG18A Bukit Bintang,248.1
KA0200,Arraaziq,Food,Restaurant,3.1446047,101.7096872,KG18A Bukit Bintang,244.5
KA0201,Fuel Shack,Food,Fast Food,3.1445102,101.7099225,KG18A Bukit Bintang,240.5
KA0202,KFC,Food,Fast Food,3.1445685,101.7100797,KG18A Bukit Bintang,227.2
KA0203,Sin Kiew Yee Shin Kee Beef Noodles,Food,Restaurant,3.1450869,101.6969606,KG16 Pasar Seni,306
KA0204,Husen Cafe,Food,Restaurant,3.1330377,101.688918,KG15 Muzium Negara,488.3
KA0205,Ko Ryo Jeong,Food,Restaurant,3.1474216,101.7135998,MR6 Bukit Bintang,278.9
KA0206,Neroteca,Food,Restaurant,3.1488157,101.7074215,KG18A Bukit Bintang,467.3
KA0207,Ozeki,Food,Restaurant,3.1510853,101.7120628,KG18A Bukit Bintang,532.3
KA0208,Lodge Paradize Poolside,Food,Restaurant,3.1506055,101.7102004,KG18A Bukit Bintang,469.3
KA0209,Burger on 16,Food,Restaurant,3.1414299,101.7095202,MR6 Bukit Bintang,560.4
KA0210,Wong Fook Kee,Food,Restaurant,3.1461609,101.7079864,KG18A Bukit Bintang,324.5
KA0211,Unnamed,Food,Restaurant,3.1448175,101.7090175,KG18A Bukit Bintang,275.9
KA0212,River of Life,Other,Viewpoint,3.1472253,101.695192,KJ14 Pasar Seni,532.6
KA0213,Saigon Station,Food,Restaurant,3.1454328,101.7080463,KG18A Bukit Bintang,335.7
KA0214,ABC Bistro Cafe,Food,Restaurant,3.1326357,101.6877913,KG15 Muzium Negara,502.8
KA0215,Din Tai Fung,Food,Restaurant,3.149206,101.7121887,KG18A Bukit Bintang,339.2
KA0216,Indian Mini Restaurant,Food,Fast Food,3.1467409,101.7105566,KG18A Bukit Bintang,50.1
KA0217,Payung Cafe,Food,Restaurant,3.1426579,101.6936549,KJ14 Pasar Seni,185
KA0218,Dotty's Pastries,Food,Cafe,3.1402536,101.6285901,KG10 Taman Tun Dr Ismail,533
KA0219,Foodle,Food,Restaurant,3.1437733,101.69581,KJ14 Pasar Seni,158.7
KA0220,Via Pre Kl Italian restaurant,Food,Restaurant,3.1439149,101.6575103,KG13 Pusat Bandar Damansara,545.1
KA0221,TGV Cinemas (IMAX),Entertainment,Cinema,3.1276652,101.7247594,KG22 Maluri,442.2
KA0222,Starbucks,Food,Cafe,3.1465502,101.6616469,KG13 Pusat Bandar Damansara,372.8
KA0223,McDonald's,Food,Fast Food,3.149147,101.6168094,KG09 Bandar Utama,355.7
KA0224,Starbucks,Food,Cafe,3.1275163,101.7235582,KG22 Maluri,524.2
KA0225,Subway,Food,Fast Food,3.1345429,101.7227281,KG21 Cochrane,231.5
KA0226,Golden Screen Cinemas,Entertainment,Cinema,3.1352296,101.7220987,KG21 Cochrane,321.9
KA0227,Starbucks,Food,Cafe,3.1344361,101.722806,KG21 Cochrane,218.7
KA0228,KFC,Food,Fast Food,3.1264599,101.7277608,KG22 Maluri,222.7
KA0229,IKEA Restaurant,Food,Fast Food,3.1354754,101.7216212,KG21 Cochrane,366.8
KA0230,Nando's,Food,Restaurant,3.1339739,101.7230193,KG21 Cochrane,166.3
KA0231,Lotus Five Star Kajang Cineplex,Entertainment,Cinema,2.9912152,101.7889783,KG34 Stadium Kajang,441.6
KA0232,IKEA Restaurant,Food,Fast Food,3.1568022,101.6123341,KG08 Mutiara Damansara,428.9
KA0233,Subway,Food,Fast Food,3.1569741,101.6112329,KG08 Mutiara Damansara,333
KA0234,Purple Miao,Food,Restaurant,3.144878,101.7087088,KG18A Bukit Bintang,298.7
KA0235,Ho Kow Hainam Kopitiam,Food,Cafe,3.1413488,101.6976799,KG16 Pasar Seni,194.8
KA0236,Restoran Jaya,Food,Fast Food,3.1463113,101.700473,KG17 Merdeka,424.4
KA0237,Food Court Lot 10,Food,Fast Food,3.1463684,101.7119416,MR6 Bukit Bintang,60.7
KA0238,The Enclave,Food,Restaurant,3.1345831,101.6266673,KG10 Taman Tun Dr Ismail,492.2
KA0239,The Nasi Lemak Guys,Food,Restaurant,3.1353275,101.6290435,KG10 Taman Tun Dr Ismail,216
KA0240,Ice Dreams Cafe,Food,Cafe,3.1354819,101.6290393,KG10 Taman Tun Dr Ismail,210.8
KA0241,Myra’s,Food,Restaurant,3.1506546,101.7085076,KG18A Bukit Bintang,538.2
KA0242,Starbucks,Food,Cafe,3.1334558,101.6869574,KG15 Muzium Negara,411.2
KA0243,Starbucks,Food,Cafe,3.1426205,101.7100268,MR6 Bukit Bintang,416.5
KA0244,Sweet Potato Balls Petaling Street,Food,Fast Food,3.1445184,101.6980566,KG16 Pasar Seni,305.1
KA0245,Kim Soya Bean,Food,Fast Food,3.1443381,101.6976014,KG16 Pasar Seni,258.5
KA0246,Limkee Cafe,Food,Cafe,3.1438163,101.698569,KG16 Pasar Seni,297.1
KA0247,Naab,Food,Restaurant,3.1472249,101.7116918,KG18A Bukit Bintang,124
KA0248,Bubble Bee Cafe,Food,Cafe,3.1416868,101.69789,KG16 Pasar Seni,195.4
KA0249,Nine Dragon Char Chan Teng,Food,Restaurant,3.1416107,101.6980586,KG16 Pasar Seni,215.9
