ID,Name,Category,Subcategory,lat,lng,Nearest Station,Distance (m)
KE0064,Petronas Towers Viewpoint #2,Other,Viewpoint,3.1561762,101.7137639,KJ10 KLCC,344.3
KE0065,Janova,Food,Restaurant,3.1015412,101.6411921,KJ21 Asia Jaya,495.2
KE0066,Yarl,Food,Restaurant,3.1339617,101.6906715,MR1 KL Sentral (Monorail),340.4
KE0067,Baba Low's Bangsar,Food,Restaurant,3.1225022,101.6711018,KJ17 Abdullah Hukum,463.2
KE0068,Shuang Siew,Food,Restaurant,3.1066666,101.6254469,KJ22 Taman Paramount,333.2
KE0069,Shi Zhi Jia,Food,Restaurant,3.1067175,101.6254255,KJ22 Taman Paramount,335.2
KE0070,Iskandar Mammak,Food,Restaurant,3.1141993,101.5906844,KJ25 Lembah Subang,247.1
KE0071,Yun Lai Huat Dim Sum,Food,Restaurant,3.1149604,101.5906863,KJ25 Lembah Subang,329.2
KE0072,Happy Lucky Coffee Shop,Food,Restaurant,3.114188,101.58963,KJ25 Lembah Subang,300.4
KE0073,Ming Yang Coffee Shop,Food,Restaurant,3.1159437,101.5894664,KJ25 Lembah Subang,477.1
KE0074,Cubes Pizza,Food,Restaurant,3.1153545,101.5885123,KJ25 Lembah Subang,479.4
KE0075,Anak Kelantan,Food,Restaurant,3.1153342,101.5888489,KJ25 Lembah Subang,454.4
KE0076,Restaurant Chaya Timur,Food,Restaurant,3.11572,101.5900141,KJ25 Lembah Subang,430.9
KE0077,Restoran Safi Bistro,Food,Restaurant,3.1160129,101.5907268,KJ25 Lembah Subang,443.7
KE0078,Coffee Gems,Food,Cafe,3.1149709,101.5886382,KJ25 Lembah Subang,438.2
KE0079,Birdnest Collective,Food,Cafe,3.1427638,101.6967977,KG16 Pasar Seni,68.3
KE0080,Sri Covai Restaurant,Food,Restaurant,3.1510161,101.6979194,AG7 SP7 KJ13 Masjid Jamek,241.3
KE0081,Yusoof Dan Zakhir,Food,Restaurant,3.1450281,101.6958385,KJ14 Pasar Seni,294.1
KE0082,Unnamed,Food,Food Court,3.1503415,101.6998213,AG7 SP7 KJ13 Masjid Jamek,387.3
KE0083,Antipodean,Food,Restaurant,3.1562637,101.7208175,PY21 Persiaran KLCC,311.9
KE0084,Sany Cafe Char Koay Teow,Food,Restaurant,3.1114561,101.6622179,KJ19 Universiti,348.5
KE0085,Jaya,Food,Restaurant,3.1318837,101.6876896,MR1 KL Sentral (Monorail),96.4
KE0086,Dharma Realm Guan Yin Sagely Monastery Canteen,Food,Fast Food,3.1594183,101.7160297,KJ10 KLCC,296.3
KE0087,Unnamed,Culture,Attraction,3.1477351,101.6934234,AG7 SP7 KJ13 Masjid Jamek,385.1
KE0088,Museum Cafe,Food,Cafe,3.1489986,101.6991275,AG7 SP7 KJ13 Masjid Jamek,299.5
KE0090,Starbucks,Food,Cafe,3.154351,101.6991134,KJ12 Dang Wangi,416.4
KE0091,Secret Recipe,Food,Fast Food,3.154175,101.6986209,KJ12 Dang Wangi,471.6
KE0092,RSMY,Food,Restaurant,3.1547126,101.6977425,KJ12 Dang Wangi,524.9
KE0093,Nando's,Food,Restaurant,3.1576778,101.7118211,KJ10 KLCC,244.7
KE0094,Starbucks,Food,Cafe,3.159614,101.718671,KJ9 Ampang Park,70.1
KE0095,Starbucks,Food,Cafe,3.1550373,101.7188015,PY21 Persiaran KLCC,217
KE0096,Feeka Coffee Roasters,Food,Cafe,3.1540836,101.7184645,PY21 Persiaran KLCC,310.4
KE0097,Kampachi,Food,Restaurant,3.1579912,101.718108,PY21 Persiaran KLCC,127.3
KE0098,Suasana,Food,Restaurant,3.121022,101.6756691,KD01 Abdullah Hukum,358.8
KE0099,Restoran Leeyas Corner,Food,Restaurant,3.1230782,101.6758556,KD01 Abdullah Hukum,549.7
KE0102,Selera Ampang,Food,Restaurant,3.1589121,101.7145698,KJ10 KLCC,138.7
KE0103,Baba Low,Food,Restaurant,3.1301142,101.6802111,KJ16 Bangsar,324.4
KE0104,Ahmed Nasi Kandar Penang,Food,Restaurant,3.1452663,101.6982159,KG16 Pasar Seni,382.2
KE0105,Tajudin Nasi Beriani,Food,Restaurant,3.1464391,101.6959811,AG7 SP7 KJ13 Masjid Jamek,334.4
KE0106,TWT Coffee,Food,Cafe,3.1537791,101.6994015,KJ12 Dang Wangi,437.2
KE0107,Nomad’s,Food,Cafe,3.1437075,101.6958106,KJ14 Pasar Seni,151.9
KE0108,Kafe Kleptokrat,Food,Restaurant,3.1489679,101.6981704,AG7 SP7 KJ13 Masjid Jamek,196
KE0109,West Lake,Food,Restaurant,3.1430231,101.6985746,KG16 Pasar Seni,262.5
KE0110,Yut Kee,Food,Restaurant,3.1564828,101.7003022,KJ12 Dang Wangi,193.2
KE0111,AllAce Burger & Chicken,Food,Fast Food,3.1452823,101.6984154,KG16 Pasar Seni,396.5
KE0112,Chef Shan,Food,Restaurant,3.1534661,101.7053725,KJ12 Dang Wangi,517.7
KE0113,Claypot Rice By The Roadside,Food,Fast Food,3.1449144,101.6986365,KG16 Pasar Seni,380.8
KE0114,Warong Mak Leha,Food,Restaurant,3.1609552,101.701628,KJ12 Dang Wangi,474.2
KE0115,Restoran Golden Junction,Food,Restaurant,3.1576424,101.7008379,KJ12 Dang Wangi,167.9
KE0116,Moontree House,Food,Cafe,3.141975,101.6972237,KG16 Pasar Seni,114.8
KE0117,Old Kasturi Kopitiam,Food,Restaurant,3.142822,101.6959358,KG16 Pasar Seni,59.7
KE0118,Panggung Bandaraya DBKL,Entertainment,Theatre,3.1502308,101.6949265,AG7 SP7 KJ13 Masjid Jamek,193.4
KE0119,KFC,Food,Fast Food,3.1450872,101.6986728,KG16 Pasar Seni,397.7
KE0120,Sup Kambing Tangga,Food,Fast Food,3.1452467,101.6977313,KG16 Pasar Seni,353
KE0121,PODs The Backpackers Home & Cafe,Food,Cafe,3.1317956,101.6878915,MR1 KL Sentral (Monorail),104.3
KE0122,Kuala Lumpur City Gallery,Culture,Museum,3.1472239,101.693407,AG7 SP7 KJ13 Masjid Jamek,417.1
KE0123,Anjappar,Food,Restaurant,3.148772,101.6972123,AG7 SP7 KJ13 Masjid Jamek,109.3
KE0124,Mama San,Food,Restaurant,3.158483,101.7118871,KJ10 KLCC,184.9
KE0125,Madam Kwan's,Food,Restaurant,3.1567627,101.7119661,KJ10 KLCC,317
KE0126,Ristorante Moghul Mahal,Food,Restaurant,3.1530757,101.7037119,KJ12 Dang Wangi,445.2
KE0127,Lokl Coffee Co,Food,Cafe,3.1487879,101.6979943,AG7 SP7 KJ13 Masjid Jamek,183.7
KE0128,McDonald's,Food,Fast Food,3.1490335,101.6969411,AG7 SP7 KJ13 Masjid Jamek,67.6
KE0129,Restoran Loong Huang,Food,Restaurant,3.1457619,101.6964682,KG16 Pasar Seni,372.4
KE0130,Betel Leaf,Food,Restaurant,3.1494005,101.6979006,AG7 SP7 KJ13 Masjid Jamek,159.8
KE0131,Mala Tang Jalan Sultan,Food,Restaurant,3.143634,101.6985536,KG16 Pasar Seni,285.5
KE0132,Chocha Foodstore,Food,Cafe,3.1408565,101.6980974,KG16 Pasar Seni,265.4
KE0133,Ali Muthu & Ahhack,Food,Restaurant,3.1413972,101.6972637,KG16 Pasar Seni,156.8
KE0134,B & Best Seafood Restaurant,Food,Restaurant,3.1106329,101.6034408,KJ24 Kelana Jaya,234
KE0135,Restoran Kiew Yee Baru,Food,Restaurant,3.1438365,101.6966932,KG16 Pasar Seni,164
KE0136,Uzen,Food,Restaurant,3.1554201,101.7056443,KJ12 Dang Wangi,426.4
KE0137,Jungle Cafe,Food,Cafe,3.1525928,101.7035109,KJ12 Dang Wangi,486.4
KE0138,Unnamed,Food,Cafe,3.1526294,101.7038506,KJ12 Dang Wangi,496.7
KE0139,Melur & Thyme,Food,Restaurant,3.1577902,101.7131719,KJ10 KLCC,163.4
KE0140,The Apartment,Food,Restaurant,3.1573162,101.713137,KJ10 KLCC,216.2
KE0141,Le Shady Trinity,Food,Cafe,3.1428954,101.6964298,KG16 Pasar Seni,55.4
KE0142,Naatamai Garden,Food,Restaurant,3.1281222,101.6828709,KJ16 Bangsar,434.2
KE0143,Ali-Sons Nasi Kandar,Food,Restaurant,3.1452529,101.6980753,KG16 Pasar Seni,372.4
KE0144,Rasta Cafe & Bar,Food,Cafe,3.1428073,101.6965989,KG16 Pasar Seni,55.3
KE0145,Nam Heong,Food,Restaurant,3.1435269,101.6985493,KG16 Pasar Seni,279.6
KE0146,Sithique Nasi Kandar,Food,Restaurant,3.1309367,101.685723,MR1 KL Sentral (Monorail),310.4
KE0147,KFC,Food,Fast Food,3.1347778,101.6864741,KL Sentral,55.9
KE0148,Merchant's Lane,Food,Cafe,3.1410448,101.6980959,KG16 Pasar Seni,252
KE0149,Dewan Filharmonik PETRONAS,Entertainment,Theatre,3.1580219,101.711686,KJ10 KLCC,231
KE0150,Subway,Food,Fast Food,3.1575235,101.712735,KJ10 KLCC,204
KE0151,KungFu Bake Rice,Food,Fast Food,3.1569928,101.7120473,KJ10 KLCC,290.3
KE0152,Fast & Yummy Shawarma,Food,Fast Food,3.145346,101.6969164,KG16 Pasar Seni,333
KE0153,Unnamed,Food,Food Court,3.1525056,101.6973081,AG7 SP7 KJ13 Masjid Jamek,357.1
KE0154,Murni,Food,Restaurant,3.0469256,101.5875076,KJ32 Taipan,310.9
KE0155,Koopeecatz,Food,Cafe,3.0470181,101.5872841,KJ32 Taipan,331.4
KE0156,Lostgens' Contemporary Art Space (Findars),Culture,Arts Centre,3.1418599,101.6972314,KG16 Pasar Seni,121.6
KE0157,Meteora,Food,Cafe,3.0472564,101.5874798,KJ32 Taipan,303.9
KE0158,Old China Café,Food,Restaurant,3.1413844,101.6973506,KG16 Pasar Seni,164.6
KE0159,Le Monde Cafe,Food,Cafe,3.1466716,101.6958311,AG7 SP7 KJ13 Masjid Jamek,312.2
KE0160,Chilly Pan Mee,Food,Restaurant,3.0472022,101.5868975,KJ32 Taipan,368.4
KE0161,Canadian Pizza,Food,Fast Food,3.047162,101.5868412,KJ32 Taipan,375.4
KE0162,Domino's,Food,Fast Food,3.0473803,101.5870678,KJ32 Taipan,346.4
KE0163,Restoran Nora,Food,Restaurant,3.0468888,101.5904628,KJ32 Taipan,111.1
KE0164,Restoran Yeo Ye,Food,Restaurant,3.0471057,101.5902054,KJ32 Taipan,81.8
KE0165,Restoran Goodyear,Food,Restaurant,3.0471821,101.5901061,KJ32 Taipan,73.3
KE0166,Restoran Yeo Ye,Food,Restaurant,3.0473361,101.5902496,KJ32 Taipan,57
KE0167,Restoran Jamali,Food,Restaurant,3.0470455,101.5906037,KJ32 Taipan,101.4
KE0168,Restoran Tien Tien Fatt,Food,Restaurant,3.0469772,101.5899345,KJ32 Taipan,98.9
KE0170,Roofino Bar & Skydining,Food,Restaurant,3.1634702,101.7179064,PY20 Ampang Park,192.8
KE0171,SugarBun Ara Damansara,Food,Fast Food,3.1110649,101.5870475,KJ26 Ara Damansara,297.3
KE0172,Am Sande Cafe,Food,Restaurant,3.1106348,101.5864587,KJ26 Ara Damansara,245.4
KE0173,Ten Years Ara Damansara,Food,Restaurant,3.1102319,101.5862985,KJ26 Ara Damansara,202.7
KE0174,Jerold's,Food,Restaurant,3.1110494,101.5863061,KJ26 Ara Damansara,292.7
KE0175,Sisters Place Kopitiam,Food,Restaurant,3.110956,101.5862695,KJ26 Ara Damansara,282.8
KE0176,Sip & Spin Laundry Cafe,Food,Cafe,3.1108546,101.5862329,KJ26 Ara Damansara,272.2
KE0177,Stevies Cafe,Food,Cafe,3.1106353,101.5861597,KJ26 Ara Damansara,249.5
KE0178,Dark & Twisted,Food,Cafe,3.1100305,101.5861963,KJ26 Ara Damansara,182.9
KE0179,Restoran Enak,Food,Restaurant,3.111637,101.5856262,KJ26 Ara Damansara,371.9
KE0180,Double A Cafe,Food,Cafe,3.1114661,101.5860545,KJ26 Ara Damansara,342.5
KE0181,Penang Road Restaurant,Food,Restaurant,3.1115313,101.5859118,KJ26 Ara Damansara,352.6
KE0182,Teh Tarik Place,Food,Cafe,3.1098194,101.5861557,KJ26 Ara Damansara,161.5
KE0183,Sushi Q,Food,Cafe,3.109722,101.5863955,KJ26 Ara Damansara,145
KE0184,My Oak Bakery & Cafe,Food,Cafe,3.1114838,101.5851434,KJ26 Ara Damansara,375.2
KE0185,Fancy Mee,Food,Restaurant,3.1106678,101.5855499,KJ26 Ara Damansara,273.9
KE0186,An-Nasuha Beverages,Food,Restaurant,3.151936,101.6973321,AG7 SP7 KJ13 Masjid Jamek,297.3
KE0187,Churitto’s,Food,Restaurant,3.1283812,101.6793083,KJ16 Bangsar,108.4
KE0188,Laksa Pot,Food,Restaurant,3.1518176,101.7028692,KJ12 Dang Wangi,551.9
KE0189,Nasi Kandar KL Express,Food,Restaurant,3.1501594,101.6974903,AG7 SP7 KJ13 Masjid Jamek,141.6
KE0190,Anjappar,Food,Restaurant,3.1321736,101.6871369,MR1 KL Sentral (Monorail),101.9
KE0191,Ramly,Food,Fast Food,3.1271362,101.6829107,KJ16 Bangsar,433.5
KE0192,Seetharam,Food,Restaurant,3.1288252,101.6837454,KJ16 Bangsar,546.6
KE0193,stall next post office,Food,Cafe,3.1013728,101.6434645,KJ20 Taman Jaya,362.5
KE0194,Boost,Food,Fast Food,3.1489255,101.6967051,AG7 SP7 KJ13 Masjid Jamek,60.1
KE0195,Fuego Troika Sky Dining,Food,Restaurant,3.1583115,101.717946,PY21 Persiaran KLCC,163.4
KE0196,Kedai Kopi Lai Foong,Food,Restaurant,3.1453009,101.6967286,KG16 Pasar Seni,324.3
KE0197,Tang City Food Court,Food,Food Court,3.1445107,101.6981807,KG16 Pasar Seni,313.5
KE0198,Unnamed,Food,Food Court,3.1381608,101.6874033,KL Sentral,445.8
KE0199,Boardwalk,Food,Restaurant,3.1355822,101.6856358,KL Sentral,166.7
KE0200,Iketeru,Food,Restaurant,3.1353511,101.6859575,KL Sentral,127.9
KE0202,ILHAM Gallery,Culture,Gallery,3.1591109,101.7188203,KJ9 Ampang Park,114
KE0203,Unnamed,Food,Fast Food,3.1434125,101.6985133,KG16 Pasar Seni,270.6
KE0204,Ali Kafe Tom Yam Seafood,Food,Restaurant,3.1167205,101.6696771,KJ18 Kerinchi,189.6
KE0205,Restoran Haslam,Food,Restaurant,3.1166197,101.668933,KJ18 Kerinchi,134.8
KE0206,The London Circle,Food,Restaurant,3.1164644,101.667623,KJ18 Kerinchi,145.4
KE0207,Restoran Amjal,Food,Restaurant,3.1182812,101.6650217,KJ18 Kerinchi,495.1
KE0209,Chang Cheng 88 Kopitiam,Food,Restaurant,2.9959306,101.5725298,SP31 KJ37 Putra Heights,338.9
KE0210,Pizza Hut,Food,Restaurant,2.9963681,101.5741419,SP31 KJ37 Putra Heights,163.5
KE0211,Domino's,Food,Fast Food,2.9963659,101.5742098,SP31 KJ37 Putra Heights,156.1
KE0212,Restoran Ali Maju,Food,Restaurant,3.1774316,101.7381214,KJ5 Setiawangsa,311.5
KE0213,Restoran Aroma,Food,Restaurant,3.1302046,101.6835888,KJ15 KL Sentral,542.4
KE0214,Sri Paandi Curry House,Food,Restaurant,3.1293643,101.6843368,MR1 KL Sentral (Monorail),541.9
KE0215,Muna's Curry House,Food,Restaurant,3.1280132,101.6821762,KJ16 Bangsar,356.1
KE0216,Wei-Ling Gallery,Culture,Gallery,3.1358904,101.691433,MR1 KL Sentral (Monorail),529.5
KE0217,Galeri Petronas,Culture,Gallery,3.1579451,101.7120305,KJ10 KLCC,207.2
KE0218,Mawar Merah,Food,Restaurant,3.1453353,101.6990643,KG16 Pasar Seni,447.4
KE0219,Dolly Dim Sum,Food,Restaurant,3.1597862,101.7139579,KJ10 KLCC,88.9
KE0220,Restoran Kim Lian Kee,Food,Restaurant,3.1443421,101.6975031,KG16 Pasar Seni,252.9
KE0221,Canteen Skolah@TAR,Food,Restaurant,3.1509713,101.6952892,AG7 SP7 KJ13 Masjid Jamek,217.2
KE0222,Precious Old China,Food,Restaurant,3.1454428,101.6954569,KJ14 Pasar Seni,334.6
KE0223,Taksu Gallery,Culture,Museum,3.1720659,101.7326832,KJ5 Setiawangsa,541.5
KE0225,Selara Johor,Food,Restaurant,3.1767556,101.7371423,KJ5 Setiawangsa,179.6
KE0226,Punjabi Rasoi,Food,Restaurant,3.1320571,101.6878521,MR1 KL Sentral (Monorail),75.1
KE0227,Restoran Khalifah Usj,Food,Restaurant,3.0433527,101.5904059,KJ32 Taipan,499.7
KE0228,Chayas,Food,Restaurant,3.148068,101.69786,AG7 SP7 KJ13 Masjid Jamek,215.2
KE0229,Atmosphere 360 Revolving Restaurant,Food,Restaurant,3.1528139,101.7039268,KJ12 Dang Wangi,481.7
KE0230,Restoran Kader,Food,Restaurant,3.1492366,101.6974366,AG7 SP7 KJ13 Masjid Jamek,110
KE0231,Saravanaa Bhavan,Food,Fast Food,3.1492772,101.6974697,AG7 SP7 KJ13 Masjid Jamek,112.9
KE0232,Palmierra28,Food,Restaurant,3.1410137,101.698098,KG16 Pasar Seni,254.3
KE0233,Urban Operation,Food,Restaurant,3.1452703,101.698266,KG16 Pasar Seni,385.7
KE0234,KFC,Food,Fast Food,3.1487571,101.696829,AG7 SP7 KJ13 Masjid Jamek,83.1
KE0235,VR Avenue K KL,Food,Restaurant,3.1594542,101.7135291,KJ10 KLCC,29.3
KE0236,The Cantina,Food,Cafe,3.0463846,101.5867554,KJ32 Taipan,410.5
KE0237,Pan Mee,Food,Cafe,3.046327,101.586758,KJ32 Taipan,412.8
KE0238,Warisan Sambal Opah,Food,Restaurant,3.0457404,101.5867084,KJ32 Taipan,448.1
KE0239,Rasmeena,Food,Restaurant,3.0457417,101.5863866,KJ32 Taipan,478.9
KE0240,Wei Kee,Food,Restaurant,3.0465694,101.5863812,KJ32 Taipan,442
KE0241,Jang Pin Kitchen,Food,Restaurant,3.0466671,101.5863785,KJ32 Taipan,439
KE0242,Sushi Zens,Food,Restaurant,3.0468667,101.5865314,KJ32 Taipan,416.5
KE0243,Restoran Tek Kee Noodle House,Food,Restaurant,3.0469711,101.586632,KJ32 Taipan,402.7
KE0244,Healthy Vegetarian,Food,Restaurant,3.0467314,101.58698,KJ32 Taipan,373.3
KE0245,Khean Tim Sum Restaurant,Food,Restaurant,3.0467716,101.5870216,KJ32 Taipan,367.5
KE0246,Chinese Muslim Food Paradise SDN BHD,Food,Restaurant,3.0465908,101.5868023,KJ32 Taipan,397.1
KE0247,Hotspin,Food,Cafe,3.0466979,101.5872489,KJ32 Taipan,346.6
KE0248,McDonald's,Food,Fast Food,3.1346045,101.6863202,KL Sentral,36.5
KE0249,Subway,Food,Fast Food,3.1359541,101.6889358,KJ15 KL Sentral,338
KE0250,Gopala,Food,Restaurant,3.1299588,101.683826,MR1 KL Sentral (Monorail),544.2
KE0251,Fatty Crab CASH ONLY,Food,Restaurant,3.1149203,101.612579,KJ23 Taman Bahagia,470.3
